fips,stateabb,sedacounty,sedacountyname,subject,grade,year,cs_mn_all,cs_mnse_all,totgyb_all,cs_mn_asn,cs_mnse_asn,totgyb_asn,cs_mn_blk,cs_mnse_blk,totgyb_blk,cs_mn_ecd,cs_mnse_ecd,totgyb_ecd,cs_mn_fem,cs_mnse_fem,totgyb_fem,cs_mn_hsp,cs_mnse_hsp,totgyb_hsp,cs_mn_mal,cs_mnse_mal,totgyb_mal,cs_mn_mfg,cs_mnse_mfg,totgyb_mfg,cs_mn_mtr,cs_mnse_mtr,totgyb_mtr,cs_mn_nam,cs_mnse_nam,totgyb_nam,cs_mn_nec,cs_mnse_nec,totgyb_nec,cs_mn_neg,cs_mnse_neg,totgyb_neg,cs_mn_wag,cs_mnse_wag,totgyb_wag,cs_mn_wbg,cs_mnse_wbg,totgyb_wbg,cs_mn_whg,cs_mnse_whg,totgyb_whg,cs_mn_wht,cs_mnse_wht,totgyb_wht,cs_mn_wmg,cs_mnse_wmg,totgyb_wmg,cs_mn_wng,cs_mnse_wng,totgyb_wng
6,CA,6001,Alameda County,mth,4,2016,-0.057985377,0.031880502,17586,.7082311115501512,0.039559397,5221,-0.938396374,0.044102753,1827,-0.70004344,0.033845895,7476,-0.079195421,0.033288839,8662,-0.649217448,0.033779336,6194,-0.036449252,0.033693849,8924,0.042790631,0.047363432,17586,.3109896104529273,0.050242465,995,-0.364770276,.1494894097862099,59,.4329931315469469,0.03478239,9942,1.133184930916489,0.048530605,17418,-0.328972066,0.054418713,8436,1.31738826,0.057801819,5042,1.028645927945026,0.050373883,9409,.3796134730190185,0.037374235,3215,0.069918695,0.062602716,4210,.7838264763484085,.1528941398288123,3274
6,CA,6001,Alameda County,rla,4,2016,0.014606675,0.030712354,17429,.6667020474575051,0.038028811,5147,-0.781949485,0.045797713,1818,-0.636778238,0.033820569,7388,.1583540313991069,0.032704466,8582,-0.550884379,0.03366977,6138,-0.125846483,0.032317324,8847,-0.283562313,0.045976844,17429,.4322350457954383,0.050925389,993,-0.343093496,.1502159480514051,59,.5052705115912399,0.033682491,9871,1.140995248889706,0.047730528,17259,-0.17002248,0.053200812,8353,1.280232452123256,0.059000407,5024,1.047446840976517,0.050177846,9344,.4969659625630333,0.037209001,3206,0.060963512,0.063054026,4199,.8326191029602064,.1535528624883109,3265
6,CA,6001,Alameda County,mth,4,2017,-0.030684842,0.040324737,17214,.6911555635163911,0.048112655,5183,-0.981262533,0.052788543,1672,-0.710336219,0.04201039,7841,-0.077520044,0.041555945,8260,-0.647525653,0.042285611,6009,0.014740027,0.041908964,8954,0.092658916,0.059017413,17214,.4382963199758692,0.055355887,1122,-0.577856682,.1982265061749637,35,.5592985025475907,0.044595672,9148,1.27135385,0.061265205,16989,-0.265563536,0.066770329,8305,1.411722987373051,0.070209341,4794,1.071588590244489,0.062702192,9131,.4247455530960997,0.046303841,3122,-0.015447763,0.07215352,4244,1.050361010354926,.2008751200429458,3157
6,CA,6001,Alameda County,rla,4,2017,0.045818758,0.037200834,17076,.6366564613029466,0.04306344,5124,-0.840631223,0.05379387,1678,-0.606691287,0.03966705,7760,.1658714964865984,0.038991459,8204,-0.514185935,0.039795468,5941,-0.067083019,0.038525771,8872,-0.233511177,0.054812337,17076,.5234746607018463,0.056364694,1119,-0.510247715,.1957424795772353,36,.6117987535106725,0.040605523,9193,1.217950887230114,0.056763468,16953,-0.086088684,0.0615548,8242,1.392615855398743,0.069480205,4796,1.064524605999091,0.059314727,9059,.5519490214721541,0.043989274,3118,0.026583269,0.071482747,4237,1.038038536475617,.1980390028250704,3154
6,CA,6001,Alameda County,mth,4,2018,-0.008929067,0.026468362,17034,.7815927958557176,0.035079183,5231,-0.926692066,0.040504342,1705,-0.665146965,0.028241075,7760,-0.045464417,0.028233748,8244,-0.622439142,0.028640549,5915,0.027483216,0.028876788,8790,0.072074556,0.040384621,17034,.2813484600500775,0.045637304,1140,-0.412825911,.1737601121564318,43,0.561384224,0.030086774,9157,1.227101706592977,0.041263439,16917,-0.367291103,0.048616701,8167,1.343275573,0.052661349,4641,1.037465364176428,0.044196644,8851,0.41478385,0.033665505,2936,0.133077096,0.056698383,4076,.8333396394663828,0.175059271,2979
6,CA,6001,Alameda County,rla,4,2018,0.049470217,0.024663446,16910,.7035612722064521,0.032584413,5179,-0.748686637,0.041668284,1703,-0.586086542,0.027170721,7689,.1735627955208104,0.027158199,8183,-0.523514335,0.0278375,5849,-0.068652895,0.026753854,8727,-0.242385698,0.03812152,16910,.4150152835392864,0.048296022,1138,-0.249758006,.1747531630617688,43,.6093335788174551,0.028417965,9104,1.195439888,0.039315851,16793,-0.20686861,0.046785015,8114,1.245719697655391,0.053505822,4638,1.020832614578562,0.043612377,8784,0.49597689,0.033576971,2935,0.08121923,0.058807612,4073,.7304269861486744,.1760059458571774,2978
6,CA,6001,Alameda County,mth,5,2009,-0.177014757,0.033412922,15783,,,,,,,-0.632652209,0.034908731,6961,-0.183000136,0.034725237,7613,,,,-0.170325546,0.035121728,8168,0.013059211,0.049388491,15781,,,,,,,.1901218622216268,0.035604953,8525,.8237208415872256,0.049861498,15486,,,,,,,,,,,,,,,,,,
6,CA,6001,Alameda County,rla,5,2009,-0.11902556,0.033123586,15771,,,,,,,-0.640489534,0.034389451,6953,-0.007126643,0.034869782,7605,,,,-0.227266719,0.034474204,8164,-0.220165059,0.049032841,15769,,,,,,,.3124688582806934,0.036544321,8522,.9540065659736414,0.050179255,15475,,,,,,,,,,,,,,,,,,
6,CA,6001,Alameda County,mth,5,2010,-0.089815666,0.025699227,15738,,,,,,,-0.540516218,0.027350827,7009,-0.080583138,0.027499789,7640,,,,-0.098793253,0.028122024,8097,-0.018127108,0.039331772,15737,,,,,,,.2603779232560088,0.02841952,8311,.8015775924552087,0.039441533,15320,,,,,,,,,,,,,,,,,,
6,CA,6001,Alameda County,rla,5,2010,-0.07752868,0.026852557,15750,,,,,,,-0.59426512,0.028069653,7020,0.032399263,0.028812653,7644,,,,-0.186529592,0.028596954,8105,-0.219431089,0.040593717,15749,,,,,,,.3301879884269497,0.029743786,8312,.9236755944460888,0.040896072,15332,,,,,,,,,,,,,,,,,,
